,StudentID,over_lap,gap
0,ID-03045,,
1,ID-01099,,
2,ID-04282,,
3,ID-01930,[],[]
4,ID-00094,[],[]
5,ID-02259,[],[]
6,ID-03865,[],[]
7,ID-01199,[],[]
8,ID-03018,[],[]
9,ID-04260,[],[180293]
10,ID-01292,[],[]
11,ID-01094,[],[]
12,ID-01192,[],[]
13,ID-02510,[],[]
14,ID-03990,[],[]
15,ID-01305,[],[]
16,ID-01153,[],[76644]
17,ID-00716,[],[]
18,ID-04206,[],[]
19,ID-03455,[],[]
20,ID-06118,,
21,ID-02835,[],[]
22,ID-00584,[],[]
23,ID-03779,[],[]
24,ID-03538,[],[]
25,ID-00498,[],[]
26,ID-00957,[],[]
27,ID-00497,[],[4465]
28,ID-03874,[],[]
29,ID-03270,[],[]
30,ID-00673,[],[]
31,ID-01128,[],[]
32,ID-01173,[],[]
33,ID-02169,[],[]
34,ID-01170,[],[]
35,ID-04667,[],"[33190, 181576]"
36,ID-01261,[],[]
37,ID-02848,[],[]
38,ID-01385,[],[]
39,ID-04318,[],[]
40,ID-03333,[],[]
41,ID-03501,[],[]
42,ID-00789,[],[]
43,ID-02524,[],[]
44,ID-02368,[],[]
45,ID-04354,[],[]
46,ID-00709,[],[]
47,ID-05325,[],[]
48,ID-00926,[],[]
49,ID-02769,[],[]
50,ID-01093,[],[]
51,ID-02856,[],[]
52,ID-00394,[],[]
53,ID-00880,[],[]
54,ID-01115,[],[]
55,ID-01087,[],[]
56,ID-01211,[],[]
57,ID-03379,[],[]
58,ID-02565,[],[]
59,ID-01590,[],[]
60,ID-03898,[],[]
61,ID-02350,[],[]
62,ID-00524,[],[]
63,ID-02640,[],[]
64,ID-01736,[],[]
65,ID-02751,[],[]
66,ID-03946,[],[]
67,ID-00462,[],[]
68,ID-00031,[],[]
69,ID-03725,[],[]
70,ID-00208,[],[]
71,ID-04668,[],[]
72,ID-02890,[],[]
73,ID-00726,[],[]
74,ID-00323,[],[]
75,ID-05026,[],[]
76,ID-01125,[],[]
77,ID-00115,[],[]
78,ID-00832,[],[]
79,ID-02614,[],[]
80,ID-00902,[],[]
81,ID-02257,[],[]
82,ID-02383,[],[]
83,ID-00786,[],[]
84,ID-06051,[],[]
85,ID-02473,[],[]
86,ID-03338,[],[]
87,ID-02390,[],[]
88,ID-03860,[],[]
89,ID-03044,[],[4465]
90,ID-03663,[],[]
91,ID-01136,[],[]
92,ID-03383,[],[]
93,ID-04264,[],[]
94,ID-00063,[],[]
95,ID-01032,[],[]
96,ID-02528,[],[]
97,ID-00843,[],[]
98,ID-02611,[],[]
99,ID-03615,[],[]
100,ID-05338,[],[]
101,ID-00632,[],[]
102,ID-03801,[],[]
103,ID-02532,[],[8212]
104,ID-03041,,
105,ID-03836,[],[99517]
106,ID-03116,[],[40986]
107,ID-03845,[],[]
108,ID-03743,[],[]
109,ID-03769,[],[]
110,ID-05339,[],[]
111,ID-01082,[],[]
112,ID-02712,[],[]
113,ID-03058,[],[]
114,ID-01349,[],[]
115,ID-00960,[],[]
116,ID-01117,[],[]
117,ID-00607,[],[]
118,ID-01203,[],[]
119,ID-00798,[],[]
120,ID-03072,[],[]
121,ID-05839,[],[]
122,ID-00872,[],[]
123,ID-02983,[],[]
124,ID-02884,[],[]
125,ID-03464,[],"[81781, 146113]"
126,ID-04544,[],[]
127,ID-01476,[],[]
128,ID-01606,[],[]
129,ID-02782,[],[]
130,ID-00339,[],[]
131,ID-02456,[],[]
132,ID-02747,[],[]
133,ID-01299,[],[]
134,ID-03645,[],[]
135,ID-03005,[],[]
136,ID-03920,[],[]
137,ID-03377,[],[]
138,ID-03695,[],[]
139,ID-02821,[],[]
140,ID-04098,[],[]
141,ID-00746,[],[]
142,ID-01193,[],[]
